< GPS_RAW_INT {time_usec : 347963000, fix_type : 6, lat : -353626099, lon : 1491643842, alt : 606460, eph : 121, epv : 200, vel : 1002, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 348363000, fix_type : 6, lat : -353625857, lon : 1491643513, alt : 606460, eph : 121, epv : 200, vel : 1001, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 348563000, fix_type : 6, lat : -353625736, lon : 1491643350, alt : 606460, eph : 121, epv : 200, vel : 1001, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 348763000, fix_type : 6, lat : -353625615, lon : 1491643186, alt : 606460, eph : 121, epv : 200, vel : 1001, cog : 31212, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 348963000, fix_type : 6, lat : -353625495, lon : 1491643023, alt : 606460, eph : 121, epv : 200, vel : 1001, cog : 31212, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 349363000, fix_type : 6, lat : -353625254, lon : 1491642695, alt : 606460, eph : 121, epv : 200, vel : 1001, cog : 31212, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 349563000, fix_type : 6, lat : -353625133, lon : 1491642532, alt : 606460, eph : 121, epv : 200, vel : 1001, cog : 31212, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 349763000, fix_type : 6, lat : -353625012, lon : 1491642368, alt : 606470, eph : 121, epv : 200, vel : 1001, cog : 31212, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 349963000, fix_type : 6, lat : -353624892, lon : 1491642205, alt : 606470, eph : 121, epv : 200, vel : 1001, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 350363000, fix_type : 6, lat : -353624650, lon : 1491641877, alt : 606470, eph : 121, epv : 200, vel : 1001, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 350563000, fix_type : 6, lat : -353624530, lon : 1491641713, alt : 606470, eph : 121, epv : 200, vel : 1000, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
AP: EKF3 lane switch 1
AP: EKF3 primary changed:1
< GPS_RAW_INT {time_usec : 350763000, fix_type : 6, lat : -353624409, lon : 1491641550, alt : 606460, eph : 121, epv : 200, vel : 1000, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 350963000, fix_type : 6, lat : -353624289, lon : 1491641387, alt : 606460, eph : 121, epv : 200, vel : 1000, cog : 31209, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 351363000, fix_type : 6, lat : -353624053, lon : 1491641062, alt : 606470, eph : 121, epv : 200, vel : 959, cog : 31073, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 351563000, fix_type : 6, lat : -353623945, lon : 1491640903, alt : 606480, eph : 121, epv : 200, vel : 913, cog : 30848, satellites_visible : 10, alt_ellipsoid : 606480, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 351763000, fix_type : 6, lat : -353623849, lon : 1491640747, alt : 606480, eph : 121, epv : 200, vel : 869, cog : 30528, satellites_visible : 10, alt_ellipsoid : 606480, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 351963000, fix_type : 6, lat : -353623764, lon : 1491640590, alt : 606480, eph : 121, epv : 200, vel : 838, cog : 30179, satellites_visible : 10, alt_ellipsoid : 606480, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 352363000, fix_type : 6, lat : -353623624, lon : 1491640272, alt : 606470, eph : 121, epv : 200, vel : 806, cog : 29514, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 352563000, fix_type : 6, lat : -353623567, lon : 1491640110, alt : 606460, eph : 121, epv : 200, vel : 798, cog : 29199, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 352763000, fix_type : 6, lat : -353623517, lon : 1491639946, alt : 606460, eph : 121, epv : 200, vel : 792, cog : 28892, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
Flight battery 70 percent
< GPS_RAW_INT {time_usec : 352963000, fix_type : 6, lat : -353623474, lon : 1491639780, alt : 606460, eph : 121, epv : 200, vel : 789, cog : 28621, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 353363000, fix_type : 6, lat : -353623401, lon : 1491639443, alt : 606460, eph : 121, epv : 200, vel : 793, cog : 28456, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 353563000, fix_type : 6, lat : -353623364, lon : 1491639274, alt : 606460, eph : 121, epv : 200, vel : 799, cog : 28605, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 353763000, fix_type : 6, lat : -353623320, lon : 1491639105, alt : 606460, eph : 121, epv : 200, vel : 808, cog : 28887, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 353963000, fix_type : 6, lat : -353623269, lon : 1491638937, alt : 606460, eph : 121, epv : 200, vel : 821, cog : 29251, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 354363000, fix_type : 6, lat : -353623136, lon : 1491638607, alt : 606460, eph : 121, epv : 200, vel : 852, cog : 29950, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 354563000, fix_type : 6, lat : -353623057, lon : 1491638444, alt : 606470, eph : 121, epv : 200, vel : 868, cog : 30240, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 354763000, fix_type : 6, lat : -353622969, lon : 1491638283, alt : 606470, eph : 121, epv : 200, vel : 882, cog : 30504, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 354963000, fix_type : 6, lat : -353622875, lon : 1491638125, alt : 606470, eph : 121, epv : 200, vel : 895, cog : 30752, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
