time_usec,lat,lon,alt,record_type,event
397963000,-35.3618201,149.1631779,606.45,gps,
398363000,-35.3618201,149.1631779,606.45,gps,
398563000,-35.3618201,149.163178,606.45,gps,
398763000,-35.3618201,149.163178,606.45,gps,
398963000,-35.3618201,149.163178,606.45,gps,
399363000,-35.3618201,149.163178,606.45,gps,
399563000,-35.3618201,149.163178,606.45,gps,
399763000,-35.3618201,149.163178,606.45,gps,
399963000,-35.3618201,149.163178,606.45,gps,
400363000,-35.3618201,149.163178,606.45,gps,
400563000,-35.3618201,149.163178,606.45,gps,
400763000,-35.3618201,149.163178,606.45,gps,
400963000,-35.3618201,149.163178,606.45,gps,
401363000,-35.3618201,149.163178,606.45,gps,
401563000,-35.3618201,149.163178,606.45,gps,
401763000,-35.3618201,149.163178,606.45,gps,
401963000,-35.3618201,149.163178,606.45,gps,
402363000,-35.3618201,149.163178,606.45,gps,
402563000,-35.3618201,149.163178,606.45,gps,
402763000,-35.3618201,149.163178,606.45,gps,
402963000,-35.3618201,149.163178,606.45,gps,
403363000,-35.3618201,149.163178,606.45,gps,
403563000,-35.3618201,149.163178,606.45,gps,
403763000,-35.3618202,149.163178,606.45,gps,
403963000,-35.3618202,149.163178,606.45,gps,
404363000,-35.3618202,149.163178,606.45,gps,
404563000,-35.3618202,149.163178,606.45,gps,
404763000,-35.3618202,149.163178,606.45,gps,
404963000,-35.3618202,149.163178,606.45,gps,
405363000,-35.3618202,149.163178,606.45,gps,
405563000,-35.3618202,149.163178,606.45,gps,
405763000,-35.3618202,149.163178,606.45,gps,
405963000,-35.3618202,149.163178,606.45,gps,
406363000,-35.3618202,149.163178,606.45,gps,
406563000,-35.3618202,149.163178,606.46,gps,
406763000,-35.3618202,149.163178,606.46,gps,
406963000,-35.3618202,149.163178,606.46,gps,
407363000,-35.3618202,149.163178,606.46,gps,
407563000,-35.3618202,149.163178,606.46,gps,
407763000,-35.3618202,149.1631779,606.45,gps,
407963000,-35.3618202,149.1631779,606.45,gps,
408363000,-35.3618202,149.1631779,606.45,gps,
408563000,-35.3618202,149.1631779,606.45,gps,
408763000,-35.3618202,149.1631779,606.45,gps,
408963000,-35.3618202,149.1631779,606.45,gps,
409363000,-35.3618202,149.1631779,606.45,gps,
409563000,-35.3618202,149.1631779,606.45,gps,
409763000,-35.3618202,149.1631779,606.45,gps,
409963000,-35.3618202,149.1631779,606.45,gps,
410363000,-35.3618202,149.1631779,606.45,gps,
410563000,-35.3618202,149.1631779,606.46,gps,
410763000,-35.3618202,149.1631779,606.46,gps,
410963000,-35.3618202,149.1631779,606.46,gps,
411363000,-35.3618201,149.1631779,606.46,gps,
411563000,-35.3618201,149.1631779,606.46,gps,
411763000,-35.3618201,149.1631779,606.46,gps,
411963000,-35.3618201,149.1631779,606.45,gps,
412363000,-35.3618201,149.1631779,606.45,gps,
412563000,-35.3618201,149.1631779,606.45,gps,
412763000,-35.3618201,149.1631779,606.45,gps,
412963000,-35.3618201,149.1631779,606.45,gps,
413363000,-35.3618201,149.163178,606.45,gps,
413563000,-35.3618201,149.163178,606.45,gps,
